SKU FA,FA,TIPO,SKU ITEM,DESCRICAO,2021 PLO,2021 EMPENHO,2022 PLO,2022 LOA,2023 PLO
1,DEFESA,PROGRAMA,32,Programa de Gestão e Manutenção do Poder Executivo,170130241,164820098.6,284976329,277166663,329611054
1,DEFESA,PROGRAMA,909,Operações Especiais: Outros Encargos Especiais,20019,19019.6,19608,19608,33920
1,DEFESA,PROGRAMA,910,Operações Especiais: Gestão da Participação em Organismos e Entidades Nacionais e Internacionais,184577,179689.6,244600,244600,243601
1,DEFESA,PROGRAMA,6011,Cooperação com o Desenvolvimento Nacional,348805360,348177546.6,324911615,890234578,316620420
1,DEFESA,PROGRAMA,6012,Defesa Nacional,1394117430,1386468709.6,673886298,653739756,681936859
1,DEFESA,FUNCAO,5,Defesa Nacional,1896528301,1883479524.8,1267394242,1804760997,1312164241
1,DEFESA,FUNCAO,9,Previdência Social,16524730,15986830.7,16380000,16380000,16004092
1,DEFESA,FUNCAO,28,Encargos Especiais,204596,198708.5,264208,264208,277521
1,DEFESA,SUBFUNCAO,121,Planejamento e Orçamento,1070055,1074508.0,1199965,1128868,2677965
1,DEFESA,SUBFUNCAO,122,Administração Geral,157029203,154565446.0,290667247,280697581,328846936
1,DEFESA,SUBFUNCAO,126,Tecnologia da Informação,16587018,16633640.0,70100081,65894077,74958014
1,DEFESA,SUBFUNCAO,128,Formação de Recursos Humanos,10286035,10286035.0,10000000,9400000,12744000
1,DEFESA,SUBFUNCAO,151,Defesa Aérea,246651360,238946816.0,368372596,358233201,357781531
1,DEFESA,SUBFUNCAO,153,Defesa Terrestre,420896849,419396764.0,370521062,354068077,371252105
1,DEFESA,SUBFUNCAO,183,Informação e Inteligência,1996833,1993104.0,4044939,3827102,4324159
1,DEFESA,SUBFUNCAO,212,Cooperação Internacional,27972691,28451869.0,16874725,15944820,29185938
1,DEFESA,SUBFUNCAO,244,Assistência Comunitária,895164936,895135707.0,0,583687260,0
1,DEFESA,SUBFUNCAO,272,Previdência do Regime Estatutário,16524730,15986830.0,16380000,16380000,16004092
1,DEFESA,SUBFUNCAO,301,Atenção Básica,11048983,8912830.0,10724904,10724904,0
1,DEFESA,SUBFUNCAO,331,Proteção e Benefícios ao Trabalhador,0,0.0,0,0,10619163
1,DEFESA,SUBFUNCAO,333,Empregabilidade,3290515,3281129.0,4290515,4298956,4432302
1,DEFESA,SUBFUNCAO,363,Ensino Profissional,0,0.0,98398,98398,0
1,DEFESA,SUBFUNCAO,366,Educação de Jovens e Adultos,2102151,2102149.0,1671100,1570834,1500000
1,DEFESA,SUBFUNCAO,542,Controle Ambiental,48662719,49227566.0,50787500,47786777,46031306
1,DEFESA,SUBFUNCAO,571,Desenvolvimento Científico,461972,408942.0,562500,562500,420000
1,DEFESA,SUBFUNCAO,572,Desenvolvimento Tecnológico e Engenharia,1629667,1632086.0,1000000,1000000,1000000
1,DEFESA,SUBFUNCAO,573,Difusão do Conhecimento Científico e Tecnológico,928677,918483.0,1491400,1401916,1491400
1,DEFESA,SUBFUNCAO,722,Telecomunicações,37562410,37512828.0,57683132,56593298,57500000
1,DEFESA,SUBFUNCAO,811,Desporto de Rendimento,3120885,3117399.0,4362500,4100750,4356812
1,DEFESA,SUBFUNCAO,812,Desporto Comunitário,7225318,7178081.0,300000,1100000,300000
1,DEFESA,SUBFUNCAO,846,Outros Encargos Especiais,3044620,2902852.0,2905886,2905886,3020131
1,DEFESA,DESPESAS,1,Pessoal e Encargos Sociais,92795313,89884678.0,167710016,166223143,178366694
1,DEFESA,DESPESAS,3,Outras Despesas Correntes,725394156,721925341.0,643958530,659717626,729852083
1,DEFESA,DESPESAS,4,Investimentos,1095068158,1087855043.0,472369904,995464436,420227077
2,EXERCITO,PROGRAMA ,32,Programa de Gestão e Manutenção do Poder Executivo,47219014846,47139541895.0,48392170626,48125748361,49521263794
