FA,Codigo,ORGAO ORCAMENTARIO,FONTE,EXERCICIO FINANCEIRO,Receita,1-Pessoal e Encargos Sociais,2-Juros e Encargos da Divida,3-Outras Despesas Correntes,4-Investimentos,5-Inversoes Financeiras,6-Amortizacao da Divida,7-Reserva de Regime Proprio da Previdencia Social RPPS,8-N/A,9-Reserva de Contingencia,Despesa,Despesa 2-9,Categoria Receita,Categoria Despesa
DEFESA,52101,Ministerio da Defesa - Administracao Direta,LDO-2023,2023,8736247276,178366694.0,0.0,1116216767.0,1529795730.0,0.0,0.0,0.0,0.0,0.0,2824379191.0,5470391688.0,muito alto,alto
AERONAUTICA,52111,Comando da Aeronautica,LDO-2023,2023,1208795261,21541524168.0,783658286.0,1169361566.0,1947271833.0,0.0,663194004.0,0.0,0.0,0.0,26105009857.0,30668495546.0,alto,muito alto
EXERCITO,52121,Comando do Exercito,LDO-2023,2023,51504959,47100748292.0,0.0,3873631933.0,1840375304.0,0.0,0.0,0.0,0.0,40060000.0,52854815529.0,58608882766.0,médio,muito alto
MARINHA,52131,Comando da Marinha,LDO-2023,2023,2771674289,25133032781.0,368019077.0,1754587645.0,2014224441.0,0.0,1236564332.0,0.0,0.0,875261835.0,31381690111.0,37630347441.0,muito alto,muito alto
AERONAUTICA,52211,Caixa de Financiamento Imobiliario da Aeronautica,LDO-2023,2023,13022428,1564551.0,0.0,2165608.0,170000.0,0.0,0.0,0.0,0.0,9293011.0,13193170.0,24821789.0,baixo,muito baixo
EXERCITO,52221,Industria de Material Belico do Brasil IMBEL,LDO-2023,2023,112717402,149699623.0,0.0,90985674.0,37101715.0,0.0,0.0,0.0,0.0,0.0,277787012.0,405874401.0,médio,médio
EXERCITO,52222,Fundacao Osorio,LDO-2023,2023,377006,18632487.0,0.0,7466902.0,400849.0,0.0,0.0,0.0,0.0,0.0,26500238.0,34367989.0,muito baixo,baixo
MARINHA,52231,Empresa Gerencial de Projetos Navais - EMGEPRON,LDO-2023,2023,3239426689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,muito alto,muito baixo
MARINHA,52232,Caixa de Construcoes de Casas para o Pessoal da Marinha - CCCPM,LDO-2023,2023,86949503,2488512.0,4081932.0,3570500.0,0.0,15000000.0,39499027.0,0.0,0.0,22355669.0,86995640.0,171502768.0,médio,baixo
DEFESA,52901,Fundo do Ministerio da Defesa,LDO-2023,2023,5235418,0.0,0.0,2205389.0,120000.0,0.0,0.0,0.0,0.0,2910029.0,5235418.0,10470836.0,muito baixo,muito baixo
DEFESA,52902,Fundo de Administracao do Hospital das Forcas Armadas,LDO-2023,2023,16569669,158401779.0,0.0,86504134.0,17835722.0,0.0,0.0,0.0,0.0,0.0,262741635.0,367081491.0,baixo,médio
DEFESA,52903,Fundo do Servico Militar,LDO-2023,2023,21860973,0.0,0.0,6365000.0,1635000.0,0.0,0.0,0.0,0.0,13860973.0,21860973.0,43721946.0,baixo,baixo
AERONAUTICA,52911,Fundo Aeronautico,LDO-2023,2023,3417612683,0.0,0.0,3306941149.0,666394690.0,4011829.0,0.0,0.0,0.0,0.0,3977347668.0,7954695336.0,muito alto,alto
EXERCITO,52921,Fundo do Exercito,LDO-2023,2023,2266770610,0.0,0.0,2130577827.0,324619095.0,0.0,0.0,0.0,0.0,47113678.0,2502310600.0,5004621200.0,muito alto,alto
MARINHA,52931,Fundo Naval,LDO-2023,2023,1394912809,0.0,0.0,1375371352.0,226869007.0,0.0,0.0,0.0,0.0,70075740.0,1672316099.0,3344632198.0,alto,alto
MARINHA,52932,Fundo de Desenvolvimento do Ensino Profissional Maritimo,LDO-2023,2023,199951768,0.0,0.0,62000000.0,4067131.0,0.0,0.0,0.0,0.0,134951768.0,201018899.0,402037798.0,médio,baixo
